name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Michael Sykes (New Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,6,"1990, March",1990,DC
Tanya Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,"1990, January",1990,DC
Terri Eckhart (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,6,"1990, December",1990,DC
Yuga Khan (New Earth),,,,,Male Characters,,Deceased Characters,6,"1990, June",1990,DC
Azure (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,6,"1989, July",1989,DC
Benjamin Hecht (New Earth),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,6,"1989, December",1989,DC
Byron Shelley (New Earth),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,6,"1989, September",1989,DC
Churljenkins (New Earth),Public Identity,Good Characters,Black Eyes,Green Hair,Female Characters,,Living Characters,6,"1989, March",1989,DC
Ethel Cripps (New Earth),,,,,Female Characters,,Living Characters,6,"1989, January",1989,DC
Faruka (New Earth),,Good Characters,,Brown Hair,Female Characters,,Living Characters,6,"1989, July",1989,DC
Fred (New Earth),,Good Characters,,,Male Characters,,Living Characters,6,"1989, April",1989,DC
Lennox (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,6,"1989, August",1989,DC
Lionel Hawkins (New Earth),Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,6,"1989, January",1989,DC
Maritza Nitumbe (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,6,"1989, December",1989,DC
Melanie Boulder (New Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,6,"1989, February",1989,DC
Nehebka (New Earth),,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,6,"1989, May",1989,DC
Oenone (New Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,6,"1989, February",1989,DC
Phillip Easton (New Earth),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,6,"1989, April",1989,DC
Quiz (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,"1989, September",1989,DC
Rosa Rubikskova (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,6,1989,1989,DC
Russ Granger (New Earth),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,6,"1989, July",1989,DC
Silver Shield (New Earth),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,6,"1989, November",1989,DC
Stefano Mandragora (New Earth),Public Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,6,"1989, May",1989,DC
Teledar (New Earth),,Good Characters,,,Male Characters,,Deceased Characters,6,"1989, April",1989,DC
Tyrus (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,6,"1989, September",1989,DC
Beth Zahar (New Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,6,"1988, October",1988,DC
Choi (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,"1988, April",1988,DC
Hecate (New Earth),,Neutral Characters,,White Hair,Female Characters,,Living Characters,6,"1988, August",1988,DC
Hugo Danner (New Earth),Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,6,"1988, March",1988,DC
Jamie Sawyer (New Earth),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,6,"1988, March",1988,DC
Katina Leikos (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,6,"1988, July",1988,DC
Legs (New Earth),,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,"1988, June",1988,DC
Marcia Claiborne (New Earth),,Good Characters,,Blond Hair,Female Characters,,Deceased Characters,6,"1988, September",1988,DC
Maxwell Roger Castle (New Earth),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,6,"1988, September",1988,DC
Runaround Sue (New Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,6,"1988, September",1988,DC
Siphon (New Earth),,,,,Male Characters,,Living Characters,6,"1988, September",1988,DC
Zuggernaut (New Earth),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,6,"1988, March",1988,DC
Aella (New Earth),,Good Characters,,,Female Characters,,Deceased Characters,6,"1987, February",1987,DC
Ahtier (New Earth),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,6,1987,1987,DC
Branden (New Earth),,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,6,"1987, March",1987,DC
Cambodian (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1987, September",1987,DC
Cottus (New Earth),Public Identity,Bad Characters,Red Eyes,,,,Living Characters,6,"1987, November",1987,DC
Fledermaus (New Earth),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,6,"1987, June",1987,DC
Helene Astar (New Earth),Public Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,6,"1987, November",1987,DC
Mister Gilchrist (New Earth),Public Identity,,,White Hair,Male Characters,,Living Characters,6,"1987, October",1987,DC
Noelle Avril (New Earth),Secret Identity,,Blue Eyes,White Hair,Female Characters,,Living Characters,6,"1987, December",1987,DC
Rachel Caspian (New Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,6,"1987, June",1987,DC
Robert DuBois (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,6,"1987, April",1987,DC
Stan the Pimp (New Earth),,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,6,"1987, February",1987,DC
Bog Venus (New Earth),,Good Characters,,,Female Characters,,Living Characters,6,"1986, April",1986,DC
Gerald Zimmerman (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,6,"1986, October",1986,DC
Jonathan Mann (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,6,1986,1986,DC
Kettle Hole Devil (New Earth),,Good Characters,,,Male Characters,,Living Characters,6,"1986, April",1986,DC
Saint Columba (New Earth),,Good Characters,,,Male Characters,,Living Characters,6,"1986, April",1986,DC
Benjamin Love (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,6,"1985, September",1985,DC
Jonni DC (New Earth),,Neutral Characters,,Red Hair,Female Characters,,Deceased Characters,6,"1985, July",1985,DC
Matthew Stein (New Earth),,,Brown Eyes,Red Hair,Male Characters,,Living Characters,6,"1985, December",1985,DC
Shamus (New Earth),,,,Brown Hair,Male Characters,,Living Characters,6,"1985, February",1985,DC
Vance Vanucci (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,6,"1985, May",1985,DC
Yndamaati (New Earth),,Good Characters,,,Female Characters,,Deceased Characters,6,"1985, December",1985,DC
Bernard Bonner (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1984, May",1984,DC
Fay Evans (New Earth),,Good Characters,,Brown Hair,Female Characters,,Living Characters,6,"1984, January",1984,DC
Haifisch (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,6,"1984, April",1984,DC
Henry P. Smithers (New Earth),,,,Black Hair,Male Characters,,Living Characters,6,"1984, August",1984,DC
Jerry Evans (New Earth),,Good Characters,,Brown Hair,Male Characters,,Living Characters,6,"1984, January",1984,DC
Kamah (New Earth),Public Identity,Bad Characters,Red Eyes,Orange Hair,Female Characters,,Deceased Characters,6,"1984, October",1984,DC
Mama Madame (New Earth),,Neutral Characters,White Eyes,White Hair,Female Characters,,Living Characters,6,"1984, February",1984,DC
Rojek (New Earth),,,,,Male Characters,,Living Characters,6,"1984, August",1984,DC
Takeo Yamashiro (New Earth),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,"1984, April",1984,DC
Tezcatlipoca (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1984, April",1984,DC
Thomas Corbett (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,6,"1984, March",1984,DC
Bedlam (New Earth),,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,6,"1983, June",1983,DC
Ms. Mesmer (New Earth),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,6,"1983, February",1983,DC
Princess Topaz (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,,Living Characters,6,"1983, August",1983,DC
Voss (New Earth),Public Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,6,"1983, October",1983,DC
Anthony Scarapelli (New Earth),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,"1982, December",1982,DC
Tuebeen (New Earth),,Good Characters,,,Male Characters,,Living Characters,6,"1982, August",1982,DC
Carl Woods (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,"1981, June",1981,DC
Flying Buttress (New Earth),Secret Identity,Good Characters,,,Male Characters,,Living Characters,6,"1981, February",1981,DC
Ahriman (New Earth),Public Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1980, February",1980,DC
Virginia Hex (New Earth),Public Identity,Neutral Characters,,Brown Hair,Female Characters,,Deceased Characters,6,"1980, April",1980,DC
Timothy Fox (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,"1979, July",1979,DC
Helen Jordan II (New Earth),,,Blue Eyes,Brown Hair,Female Characters,,Living Characters,6,"1978, October",1978,DC
Madame Zodiac (New Earth),,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,6,"1978, May",1978,DC
Armageddon (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1977, August",1977,DC
Barney Sands (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,6,"1977, April",1977,DC
Elizabeth Berg (New Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,6,"1976, September",1976,DC
Richard Benson (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Male Characters,,Living Characters,6,"1975, June",1975,DC
Avia (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,6,"1972, March",1972,DC
James Corrigan (Earth-One),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,6,"1972, May",1972,DC
Lump (New Earth),Public Identity,Bad Characters,White Eyes,,Male Characters,,Deceased Characters,6,"1972, April",1972,DC
Victor Volcanum (New Earth),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,"1972, March",1972,DC
Ebeneezer Darrk (New Earth),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,6,"1970, November",1970,DC
Richard Wilson (New Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,6,"1970, November",1970,DC
Mupo (New Earth),Public Identity,,,Black Hair,Male Characters,,Living Characters,6,"1969, August",1969,DC
Andre de Sevigne (New Earth),,Good Characters,,,Male Characters,,Deceased Characters,6,"1968, May",1968,DC
Daisy (New Earth),,,,,,,Living Characters,6,"1968, August",1968,DC
Vera Sweet (New Earth),Public Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,6,"1968, June",1968,DC
Pol Manning (New Earth),,,,,Male Characters,,Living Characters,6,"1967, March",1967,DC
Zborra (New Earth),,Good Characters,Black Eyes,,Male Characters,,Deceased Characters,6,"1967, September",1967,DC
Gagsworth A. Gagsworthy (New Earth),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,6,"1966, November",1966,DC
Roy Reynolds (New Earth),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,"1965, March",1965,DC
Farmer Boy (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,6,"1964, June",1964,DC
Rog (New Earth),,Bad Characters,,,,,Living Characters,6,"1964, March",1964,DC
F. Gaylord Clayburne III (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,6,"1963, February",1963,DC
Thomas Jefferson (New Earth),,Good Characters,,Red Hair,Male Characters,,Living Characters,6,"1962, May",1962,DC
Jeanne Walker (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,6,"1961, March",1961,DC
John Wilkes Booth (New Earth),Public Identity,,,Brown Hair,Male Characters,,Living Characters,6,"1961, July",1961,DC
Willard Wiggins (New Earth),,,,,Male Characters,,Living Characters,6,"1960, December",1960,DC
Jonathan Mayhew (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,6,"1957, July",1957,DC
Ranger (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,6,"1955, January",1955,DC
Gerald Shilling (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,6,"1954, November",1954,DC
Benedict Rundstrom (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,6,"1951, June",1951,DC
Edward Clariss (New Earth),Secret Identity,Bad Characters,White Eyes,,Male Characters,,Living Characters,6,"1949, February",1949,DC
Malachi Zee (New Earth),,,,,Male Characters,,Living Characters,6,"1947, June",1947,DC
Sky Pirate (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,6,"1947, August",1947,DC
Timothy Karnes (New Earth),Secret Identity,Bad Characters,Brown Eyes,,Male Characters,,Deceased Characters,6,"1943, February",1943,DC
Henry Ross (New Earth),,Bad Characters,,,Male Characters,,Living Characters,6,"1941, December",1941,DC
Ammon-Ra (New Earth),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,6,,,DC
Kreaven (New Earth),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,6,,,DC
Vulcan (New Earth),,Good Characters,,,Male Characters,,Living Characters,6,,,DC
Donna Cavanagh (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Homosexual Characters,Living Characters,6,,,DC
Amadeus Arkham (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,6,,,DC
Bedbug (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2011, January",2011,DC
Black Python (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2011, January",2011,DC
Charles Lane II (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2011, January",2011,DC
Doctor Chaos (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2011, February",2011,DC
Enchantress (Prime Earth),,Bad Characters,,Brown Hair,Female Characters,,Living Characters,5,"2011, November",2011,DC
Etienne Guiborg (New Earth),Secret Identity,Bad Characters,Blue Eyes,,Male Characters,,Living Characters,5,"2011, February",2011,DC
Michael Desai (New Earth),,Neutral Characters,Grey Eyes,,Male Characters,,Living Characters,5,"2011, July",2011,DC
Orithia (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,5,"2011, January",2011,DC
Rani Singh (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,"2011, January",2011,DC
Sami Mousawi (New Earth),,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,5,"2011, April",2011,DC
Sara Butters (New Earth),Secret Identity,Good Characters,,,Female Characters,,Living Characters,5,"2011, April",2011,DC
Tataka (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,5,"2011, May",2011,DC
Theodore Cobblepot (New Earth),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,5,"2011, July",2011,DC
Vijay Singh (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,"2011, January",2011,DC
Zachary Gate (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,5,"2011, July",2011,DC
Catwoman III (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,5,"2010, September",2010,DC
Chloe Sullivan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,5,"2010, November",2010,DC
Dennis Ennis (New Earth),Secret Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,5,"2010, December",2010,DC
Doctor Caligan (New Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"2010, December",2010,DC
Feng Po Impostor (New Earth),,Neutral Characters,White Eyes,,Male Characters,,Deceased Characters,5,"2010, January",2010,DC
Geomancer II (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2010, March",2010,DC
Goliath (New Earth),,Bad Characters,White Eyes,Brown Hair,Male Characters,,Living Characters,5,"2010, January",2010,DC
Green Ghoul (New Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"2010, April",2010,DC
Hans Gerlicht (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2010, January",2010,DC
Harold Winer (New Earth),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"2010, June",2010,DC
Jackal III (New Earth),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,5,"2010, March",2010,DC
Kristen Kramer (New Earth),,,Blue Eyes,Red Hair,Female Characters,,Living Characters,5,"2010, May",2010,DC
Mateo Burland (New Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,5,"2010, March",2010,DC
Milton Kroft (New Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"2010, February",2010,DC
Nora Reid (New Earth),Public Identity,,Blue Eyes,Red Hair,Female Characters,,Living Characters,5,"2010, August",2010,DC
Peter Hayes (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,"2010, August",2010,DC
Yu Huang (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,5,"2010, February",2010,DC
Abraham Arlington (New Earth),,Good Characters,,,Male Characters,,Living Characters,5,"2009, May",2009,DC
Archer of Angelsport (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Deceased Characters,5,"2009, August",2009,DC
Donna Anderson (New Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Female Characters,,Deceased Characters,5,"2009, August",2009,DC
Face II (New Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Deceased Characters,5,"2009, January",2009,DC
Jamal Stuart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"2009, February",2009,DC
Malik Al Thaka (New Earth),,Bad Characters,Red Eyes,,Male Characters,,Living Characters,5,"2009, December",2009,DC
Millicent Mayne (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,5,"2009, February",2009,DC
Riki Kimura (New Earth),Secret Identity,Good Characters,Black Eyes,Green Hair,Male Characters,,Living Characters,5,"2009, October",2009,DC
Rocky (New Earth),Public Identity,Good Characters,White Eyes,,Male Characters,,Living Characters,5,"2009, November",2009,DC
Sean Sonus (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,5,"2009, February",2009,DC
Seductress (New Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,5,"2009, August",2009,DC
Son of the Fallen (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5,"2009, January",2009,DC
Tyr-Van (New Earth),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,5,"2009, May",2009,DC
Ugly Man (New Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,5,"2009, December",2009,DC
Burn (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,5,"2008, May",2008,DC
Edwar Martinez (New Earth),Public Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,5,"2008, May",2008,DC
Gangly Man (New Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"2008, June",2008,DC
Jesse (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,5,"2008, August",2008,DC
Konvikt (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2008, June",2008,DC
Lycus (New Earth),Public Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2008, October",2008,DC
Marque (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,5,"2008, September",2008,DC
Mind Bullet (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2008, June",2008,DC
Pierrot Lunaire (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2008, June",2008,DC
Sendrina (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Female Characters,,Living Characters,5,"2008, February",2008,DC
Tuatara II (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2008, June",2008,DC
Violet (New Earth),Secret Identity,Neutral Characters,,Red Hair,Female Characters,,Living Characters,5,"2008, March",2008,DC
Bizarro Jimmy Olsen (New Earth),Secret Identity,,Black Eyes,Red Hair,Male Characters,,Living Characters,5,"2007, October",2007,DC
Branca (New Earth),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"2007, May",2007,DC
Brother Flay (New Earth),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,5,"2007, December",2007,DC
Chien Na Wei (New Earth),Secret Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,5,"2007, October",2007,DC
Diamalon (New Earth),Public Identity,Good Characters,Blue Eyes,,,,Deceased Characters,5,"2007, August",2007,DC
Edward Hwang (New Earth),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,5,"2007, September",2007,DC
Enkafos (New Earth),Public Identity,Bad Characters,White Eyes,,Male Characters,,Deceased Characters,5,"2007, September",2007,DC
Frank Halloran (New Earth),Secret Identity,Neutral Characters,Photocellular Eyes,Blond Hair,Male Characters,,Deceased Characters,5,"2007, June",2007,DC
Hackett (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,"2007, September",2007,DC
Horku (New Earth),Public Identity,Bad Characters,White Eyes,,Male Characters,,Deceased Characters,5,"2007, August",2007,DC
Jia (New Earth),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,5,"2007, May",2007,DC
Kid Crusader (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5,"2007, February",2007,DC
Kieran Marshall (New Earth),Secret Identity,Good Characters,,,Male Characters,,Living Characters,5,"2007, February",2007,DC
Mallow (New Earth),,Bad Characters,,Grey Hair,Male Characters,,Living Characters,5,"2007, August",2007,DC
Perseus Hazard (New Earth),Public Identity,,Brown Eyes,,Male Characters,,Deceased Characters,5,"2007, August",2007,DC
Pharyngula (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2007, June",2007,DC
Scivor (New Earth),,Bad Characters,,,,,Living Characters,5,"2007, August",2007,DC
Snap Trap (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2007, August",2007,DC
Stanch (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2007, August",2007,DC
Thomas Larson (New Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"2007, April",2007,DC
Chief Justice (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,5,"2006, November",2006,DC
Corky Charles (New Earth),Public Identity,,,White Hair,Male Characters,,Living Characters,5,"2006, May",2006,DC
Elephant Man (New Earth),Secret Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,5,"2006, June",2006,DC
Embargo (New Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,5,"2006, November",2006,DC
Garmin Vid (New Earth),,Good Characters,Green Eyes,,Male Characters,,Living Characters,5,"2006, June",2006,DC
Giggs (New Earth),,Bad Characters,Green Eyes,Grey Hair,Male Characters,,Living Characters,5,"2006, October",2006,DC
"Head, of the Waiting (New Earth)",Secret Identity,,Green Eyes,,Male Characters,,Living Characters,5,"2006, August",2006,DC
Jace Lorens (New Earth),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"2006, December",2006,DC
John Smalls (New Earth),,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"2006, June",2006,DC
Josef Muller (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2006, September",2006,DC
Lashorr (New Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,5,"2006, July",2006,DC
Lord of the Damned (New Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,5,"2006, May",2006,DC
Major Victory III (New Earth),Secret Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,5,"2006, June",2006,DC
Mister Choi (New Earth),,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"2006, September",2006,DC
Mister Nitro (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2006, June",2006,DC
Nuclear (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2006, June",2006,DC
Sara Smart (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,5,"2006, January",2006,DC
Subjekt-17 (New Earth),,Bad Characters,Black Eyes,,Male Characters,,Deceased Characters,5,"2006, October",2006,DC
Violet Robinson (New Earth),Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,5,"2006, August",2006,DC
Ali-Ka Zoom (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5,"2005, July",2005,DC
Beni Sholin (New Earth),,Good Characters,,,Male Characters,,Living Characters,5,"2005, November",2005,DC
Edward Stargard (New Earth),Secret Identity,Good Characters,Black Eyes,,Male Characters,,Living Characters,5,"2005, May",2005,DC
Grumb (New Earth),,Good Characters,Purple Eyes,,Male Characters,,Living Characters,5,"2005, October",2005,DC
Hummingbird (New Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,5,"2005, May",2005,DC
King of Spades V (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2005, October",2005,DC
Lasso (New Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"2005, May",2005,DC
Lisa Yurigama (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,"2005, March",2005,DC
Michelle Torres (New Earth),Public Identity,Neutral Characters,,Brown Hair,Female Characters,,Living Characters,5,"2005, February",2005,DC
Richard Beren (New Earth),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,"2005, May",2005,DC
Takahata (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"2005, September",2005,DC
Tremor (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2005, October",2005,DC
Rava (New Earth),Public Identity,Good Characters,,White Hair,Male Characters,,Deceased Characters,5,"2004, April",2004,DC
Curse (New Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"2003, October",2003,DC
Headhunter II (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"2003, November",2003,DC
Jennifer Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,5,"2003, April",2003,DC
